ID,Label
20056.jpg,street
20057.jpg,glacier
20058.jpg,glacier
20059.jpg,glacier
20060.jpg,glacier
20061.jpg,mountain
20062.jpg,street
20064.jpg,mountain
20066.jpg,street
20067.jpg,street
20068.jpg,mountain
20069.jpg,street
20070.jpg,street
20071.jpg,mountain
20072.jpg,mountain
20073.jpg,glacier
20074.jpg,glacier
20075.jpg,glacier
20076.jpg,glacier
20077.jpg,glacier
20078.jpg,glacier
20079.jpg,glacier
20080.jpg,street
20081.jpg,mountain
20082.jpg,street
20083.jpg,glacier
20084.jpg,glacier
20085.jpg,mountain
20087.jpg,glacier
20088.jpg,glacier
20089.jpg,street
20090.jpg,street
20091.jpg,street
20092.jpg,mountain
20093.jpg,glacier
20094.jpg,glacier
20095.jpg,street
20096.jpg,glacier
20098.jpg,street
20099.jpg,glacier
20100.jpg,glacier
20106.jpg,glacier
20107.jpg,mountain
20108.jpg,street
20109.jpg,mountain
20111.jpg,glacier
20112.jpg,mountain
20113.jpg,glacier
20114.jpg,glacier
20115.jpg,mountain
20116.jpg,glacier
20117.jpg,glacier
20120.jpg,mountain
20123.jpg,mountain
20124.jpg,glacier
20126.jpg,glacier
20127.jpg,street
20129.jpg,mountain
20131.jpg,glacier
20133.jpg,glacier
20134.jpg,street
20136.jpg,glacier
20137.jpg,street
20138.jpg,glacier
20140.jpg,glacier
20142.jpg,glacier
20144.jpg,mountain
20147.jpg,street
20148.jpg,glacier
20150.jpg,glacier
20151.jpg,street
20152.jpg,glacier
20153.jpg,mountain
20154.jpg,mountain
20157.jpg,glacier
20158.jpg,glacier
20159.jpg,street
20160.jpg,glacier
20161.jpg,street
20162.jpg,glacier
20163.jpg,mountain
20164.jpg,glacier
20165.jpg,glacier
20166.jpg,street
20167.jpg,glacier
20168.jpg,mountain
20170.jpg,glacier
20171.jpg,glacier
20172.jpg,glacier
20173.jpg,street
20174.jpg,mountain
20175.jpg,mountain
20176.jpg,mountain
20177.jpg,mountain
20178.jpg,street
20179.jpg,glacier
20181.jpg,glacier
20183.jpg,street
20184.jpg,street
20185.jpg,glacier
20186.jpg,glacier
20187.jpg,glacier
20189.jpg,mountain
20190.jpg,glacier
20191.jpg,glacier
20194.jpg,street
20195.jpg,glacier
20198.jpg,glacier
20202.jpg,mountain
20204.jpg,glacier
20206.jpg,street
20207.jpg,glacier
20209.jpg,glacier
20210.jpg,glacier
20211.jpg,mountain
20212.jpg,glacier
20216.jpg,street
20218.jpg,glacier
20221.jpg,street
20222.jpg,street
20225.jpg,street
20226.jpg,mountain
20227.jpg,glacier
20228.jpg,glacier
20229.jpg,street
20230.jpg,glacier
20231.jpg,street
20232.jpg,mountain
